model,fold,index,pred,true,adduct_type,adduct_code,class_code
GNN,0,793,216.36918047392632,214.2,[M+H]+,1,2.0
GNN,0,794,221.56011970274204,220.8,[M+H]+,1,2.0
GNN,0,795,218.3630538927175,218.8,[M+Na]+,4,2.0
GNN,0,796,219.35904933123106,219.0,[M+Na]+,4,2.0
GNN,0,797,224.66896402792784,224.8,[M+Na]+,4,2.0
GNN,0,798,278.70318203701004,274.0,[M+H]+,1,2.0
GNN,0,799,281.44060224974055,278.0,[M+H]+,1,2.0
GNN,0,800,284.50740226495776,281.0,[M+H]+,1,2.0
GNN,0,801,284.707357543113,278.8,[M+H]+,1,2.0
GNN,0,802,285.62779125256657,281.7,[M+H]+,1,2.0
GNN,0,803,288.8812688407831,285.3,[M+H]+,1,2.0
GNN,0,804,292.4917321204886,285.8,[M+H]+,1,2.0
GNN,0,805,287.28482283696627,284.1,[M+H]+,1,2.0
GNN,0,806,288.30011930275913,286.0,[M+H]+,1,2.0
GNN,0,807,291.8087844668382,285.5,[M+H]+,1,2.0
GNN,0,808,291.86992806185594,288.5,[M+H]+,1,2.0
GNN,0,809,296.6580621367938,291.6,[M+H]+,1,2.0
GNN,0,810,294.7381638207143,292.5,[M+H]+,1,2.0
GNN,0,811,289.41318784767367,286.5,[M+H]+,1,2.0
GNN,0,812,291.7686088287914,286.8,[M+H]+,1,2.0
GNN,0,813,296.9850539660569,289.7,[M+H]+,1,2.0
GNN,0,814,295.38288182475105,291.2,[M+H]+,1,2.0
GNN,0,815,296.40160369648856,291.9,[M+H]+,1,2.0
GNN,0,816,296.6226105385433,293.7,[M+H]+,1,2.0
GNN,0,817,293.59454044234536,291.6,[M+H]+,1,2.0
GNN,0,818,295.7002753636096,293.2,[M+H]+,1,2.0
GNN,0,819,297.07437008502734,293.3,[M+H]+,1,2.0
GNN,0,820,298.82778194771186,295.5,[M+H]+,1,2.0
GNN,0,821,301.1902432230578,296.1,[M+H]+,1,2.0
GNN,0,822,284.0847074507838,281.1,[M+H]+,1,5.0
GNN,0,823,287.18103688586905,283.2,[M+H]+,1,5.0
GNN,0,824,289.2184759650426,286.6,[M+H]+,1,5.0
GNN,0,825,295.04397160410423,292.2,[M+H]+,1,5.0
GNN,0,826,298.0967973222772,295.0,[M+H]+,1,5.0
GNN,0,827,300.85761513679927,297.1,[M+H]+,1,5.0
GNN,0,828,304.55980895291066,300.7,[M+H]+,1,5.0
GNN,0,829,306.16919609242956,302.2,[M+H]+,1,5.0
GNN,0,830,222.39501726043258,220.8,[M+H]+,1,2.0
GNN,0,831,225.68864750374226,223.4,[M+H]+,1,2.0
GNN,0,832,229.77092878135244,228.5,[M+H]+,1,2.0
GNN,0,833,233.70230403619144,230.8,[M+H]+,1,2.0
GNN,0,834,237.41186990276293,235.7,[M+H]+,1,2.0
GNN,0,835,231.03728506153644,232.4,[M+H]+,1,2.0
GNN,0,836,233.99776698889542,239.0,[M+H]+,1,2.0
GNN,0,837,225.68864750374226,227.7,[M+H]+,1,2.0
GNN,0,838,233.70230403619144,236.2,[M+H]+,1,2.0
GNN,0,839,292.4917321204886,301.1,[M+H]+,1,2.0
GNN,0,840,288.8812688407831,300.3,[M+H]+,1,2.0
GNN,0,841,285.62779125256657,302.6,[M+H]+,1,2.0
GNN,0,842,284.707357543113,292.3,[M+H]+,1,2.0
GNN,0,843,296.6580621367938,306.2,[M+H]+,1,2.0
GNN,0,844,291.86992806185594,303.1,[M+H]+,1,2.0
GNN,0,845,291.8087844668382,295.8,[M+H]+,1,2.0
GNN,0,846,291.7686088287914,299.9,[M+H]+,1,2.0
GNN,0,847,278.21216513077167,283.6,[M+H]+,1,2.0
GNN,0,848,276.7428885373591,279.6,[M+H]+,1,2.0
GNN,0,849,292.3665382819563,291.4,[M+H]+,1,2.0
GNN,0,850,292.3665382819563,299.1,[M+H]+,1,2.0
GNN,0,851,281.5004240625893,287.8,[M+H]+,1,2.0
GNN,0,852,289.25470330001684,295.3,[M+H]+,1,2.0
GNN,0,853,289.25470330001684,295.1,[M+H]+,1,2.0
GNN,0,854,299.83592313608017,306.1,[M+H]+,1,2.0
GNN,0,855,299.83592313608017,306.0,[M+H]+,1,2.0
GNN,0,856,296.96290106154976,302.7,[M+H]+,1,2.0
GNN,0,857,296.96290106154976,302.8,[M+H]+,1,2.0
GNN,0,858,289.40518556447273,297.2,[M+H]+,1,2.0
GNN,0,859,286.48096676788276,294.0,[M+H]+,1,2.0
GNN,0,860,296.28834932127484,303.1,[M+H]+,1,2.0
GNN,0,861,294.0893834560566,301.0,[M+H]+,1,2.0
GNN,0,862,291.6598621825817,297.2,[M+H]+,1,2.0
GNN,0,863,289.9304929091157,293.8,[M+H]+,1,2.0
GNN,0,864,280.4769086230856,293.0,[M+H]+,1,2.0
GNN,0,865,291.8901765236872,299.8,[M+H]+,1,2.0
GNN,0,866,288.6508849441589,298.6,[M+H]+,1,2.0
GNN,0,867,286.46016616977846,297.1,[M+H]+,1,2.0
GNN,0,868,274.2925745372896,286.1,[M+H]+,1,2.0
GNN,0,869,266.850302266868,276.6,[M+H]+,1,2.0
GNN,0,870,276.39924858598494,283.8,[M+H]+,1,2.0
GNN,0,871,280.30136978342273,290.1,[M+H]+,1,2.0
GNN,0,872,286.4616664988133,297.6,[M+H]+,1,2.0
GNN,0,873,325.75776058568704,326.0,[M+Na]+,4,2.0
GNN,0,874,327.62630333418144,327.7,[M+Na]+,4,2.0
GNN,0,875,332.3652821295586,332.3,[M+Na]+,4,2.0
GNN,0,876,332.37492443509444,333.1,[M+Na]+,4,2.0
GNN,0,877,322.1462646367327,321.4,[M+Na]+,4,2.0
GNN,0,878,325.1997827335197,325.0,[M+Na]+,4,2.0
GNN,0,879,326.9264272536182,328.3,[M+Na]+,4,2.0
GNN,0,880,328.91955930617814,330.1,[M+Na]+,4,2.0
GNN,0,881,266.4370352755482,268.07,[M+Na]+,4,2.0
GNN,0,882,273.47163343980804,272.75,[M+Na]+,4,2.0
GNN,0,883,271.644392066475,273.08,[M+Na]+,4,2.0
GNN,0,884,273.86518139443535,272.38,[M+Na]+,4,2.0
GNN,0,885,273.9931415643918,275.15,[M+Na]+,4,2.0
GNN,0,886,278.79125486191055,278.8,[M+Na]+,4,2.0
GNN,0,887,274.1643274933666,275.67,[M+Na]+,4,2.0
GNN,0,888,281.5986647019723,280.56,[M+Na]+,4,2.0
GNN,0,889,280.7549091263105,278.38,[M+Na]+,4,2.0
GNN,0,890,280.9971689570172,281.03,[M+Na]+,4,2.0
GNN,0,891,280.7910718754872,281.82,[M+Na]+,4,2.0
GNN,0,892,285.59738539012704,287.26,[M+Na]+,4,2.0
GNN,0,893,283.5638711048999,283.87,[M+Na]+,4,2.0
GNN,0,894,258.4722570257282,260.6,[M+H]+,1,2.0
GNN,0,895,265.80260461304783,265.85,[M+H]+,1,2.0
GNN,0,896,265.2853316632136,265.08,[M+H]+,1,2.0
GNN,0,897,268.5534639165641,269.25,[M+H]+,1,2.0
GNN,0,898,268.60769472036174,268.72,[M+H]+,1,2.0
GNN,0,899,273.5961429415257,272.49,[M+H]+,1,2.0
GNN,0,900,268.7677622212453,268.71,[M+H]+,1,2.0
GNN,0,901,274.9053781671284,273.6,[M+H]+,1,2.0
GNN,0,902,273.8910440716259,271.97,[M+H]+,1,2.0
GNN,0,903,275.43110874476827,275.45,[M+H]+,1,2.0
GNN,0,904,275.9068238421832,275.82,[M+H]+,1,2.0
