model,fold,index,pred,true,adduct_type,adduct_code,class_code
GNN,0,479,269.6339065067524,269.7,[M-H]-,4,2.0
GNN,0,480,277.45364362113406,277.01,[M-H]-,4,2.0
GNN,0,481,275.8441348336807,276.04,[M-H]-,4,2.0
GNN,0,482,274.8798323110159,274.82,[M-H]-,4,2.0
GNN,0,483,275.5695423671592,273.81,[M-H]-,4,2.0
GNN,0,484,280.80409460644717,280.89,[M-H]-,4,2.0
GNN,0,485,282.83927759211076,280.5,[M-H]-,4,2.0
GNN,0,486,287.5015352981595,286.82,[M+HCOO]-,1,2.0
GNN,0,487,288.0029096784083,284.71,[M+HCOO]-,1,2.0
GNN,0,488,292.0419764013217,290.79,[M+HCOO]-,1,2.0
GNN,0,489,291.7999318794139,289.31,[M+HCOO]-,1,2.0
GNN,0,490,291.1777073567003,288.8,[M+HCOO]-,1,2.0
GNN,0,491,298.3198448660341,296.46,[M+HCOO]-,1,2.0
GNN,0,492,296.0974481939879,295.45,[M+HCOO]-,1,2.0
GNN,0,493,295.9216733713076,293.56,[M+HCOO]-,1,2.0
GNN,0,494,294.554682866011,292.86,[M+HCOO]-,1,2.0
GNN,0,495,301.68404772263204,298.03,[M+HCOO]-,1,2.0
GNN,0,496,298.72255404774046,297.3,[M+HCOO]-,1,2.0
GNN,0,497,298.9211236661149,295.99,[M+HCOO]-,1,2.0
GNN,0,498,285.20795325779505,284.03,[M-H]-,4,2.0
GNN,0,499,283.7192359388074,282.92,[M-H]-,4,2.0
GNN,0,500,280.4142150379983,281.82,[M-H]-,4,2.0
GNN,0,501,287.96830306339257,287.56,[M-H]-,4,2.0
GNN,0,502,287.34472289490463,286.53,[M-H]-,4,2.0
GNN,0,503,286.9979151980279,285.11,[M-H]-,4,2.0
GNN,0,504,280.8893801747802,283.69,[M-H]-,4,2.0
GNN,0,505,289.03350251159804,291.3,[M-H]-,4,2.0
GNN,0,506,286.69106881393134,290.27,[M-H]-,4,2.0
GNN,0,507,290.69606555978737,289.09,[M-H]-,4,2.0
GNN,0,508,286.8947019607573,287.37,[M-H]-,4,2.0
GNN,0,509,292.1327658336771,291.98,[M-H]-,4,2.0
GNN,0,510,288.60065246121786,290.63,[M-H]-,4,2.0
