model,fold,index,pred,true,adduct_type,adduct_code,class_code
GNN,0,243,132.50399170771934,133.24004,[M-H]-,1,6.0
GNN,0,244,136.18873109061565,135.00082,[M-H]-,1,1.0
GNN,0,245,147.0939130335443,147.55168,[M-H]-,1,1.0
GNN,0,246,121.63595211793593,121.83953,[M-H]-,1,1.0
GNN,0,247,124.33650440467044,124.48365,[M-H]-,1,6.0
GNN,0,248,132.0041374649719,130.139,[M-H]-,1,6.0
GNN,0,249,129.90219261558644,129.78925,[M-H]-,1,1.0
GNN,0,250,208.0369067627207,208.51599,[M-H]-,1,6.0
GNN,0,251,167.1316006094714,166.71289,[M-H]-,1,3.0
GNN,0,252,131.10335945623711,130.7143,[M-H]-,1,9.0
GNN,0,253,128.94983369426308,128.8559,[M-H]-,1,6.0
GNN,0,254,122.5570697010024,122.06826,[M-H]-,1,1.0
GNN,0,255,133.58456022453294,133.94702,[M-H]-,1,6.0
GNN,0,256,155.8100167959425,151.905,[M-H]-,1,2.0
GNN,0,257,128.13016193241927,128.75073,[M-H]-,1,6.0
GNN,0,258,179.57427679081653,178.53474,[M-H]-,1,3.0
GNN,0,259,199.3409071119466,197.93105,[M-H]-,1,3.0
GNN,0,260,153.36598274265242,153.75905,[M-H]-,1,6.0
GNN,0,261,130.6885599497967,129.27243,[M-H]-,1,9.0
GNN,0,262,134.364625942669,134.20697,[M-H]-,1,3.0
GNN,0,263,145.82323205023113,146.279,[M-H]-,1,9.0
GNN,0,264,128.49015902242738,127.21799,[M-H]-,1,3.0
GNN,0,265,189.32469998228996,188.50182,[M-H]-,1,3.0
GNN,0,266,145.61053569676014,146.33626,[M-H]-,1,3.0
GNN,0,267,131.6002537682954,132.56383,[M+Na-2H]-,0,3.0
GNN,0,268,185.17529601866252,183.41296,[M-H]-,1,3.0
GNN,0,269,172.55200601877874,170.78317,[M-H]-,1,3.0
GNN,0,270,179.84555129406698,178.82155,[M+Na-2H]-,0,9.0
GNN,0,271,334.64599739600624,334.531,[M+Na-2H]-,0,6.0
GNN,0,272,131.9630397400259,131.7713,[M-H]-,1,3.0
GNN,0,273,153.83515702227746,154.35583,[M-H]-,1,6.0
GNN,0,274,196.96110685816907,196.32072,[M-H]-,1,3.0
GNN,0,275,198.6954247077974,200.00607,[M-H]-,1,3.0
GNN,0,276,124.65425113055944,125.39947,[M-H]-,1,1.0
GNN,0,277,131.42926969651938,128.29556,[M-H]-,1,5.0
GNN,0,278,122.1274803488303,118.5189,[M-H]-,1,6.0
GNN,0,279,209.81321657882137,210.04906,[M-H]-,1,2.0
GNN,0,280,121.35415169498854,120.54965,[M-H]-,1,3.0
GNN,0,281,135.37033498590387,135.24606,[M-H]-,1,6.0
GNN,0,282,297.14774901166606,294.97845,[M-H]-,1,3.0
GNN,0,283,125.34776082941157,122.39855,[M-H]-,1,5.0
GNN,0,284,176.02736675719888,171.95747,[M-H]-,1,5.0
GNN,0,285,135.15948074926172,132.24706,[M-H]-,1,5.0
GNN,0,286,172.92807448638652,172.84258,[M-H]-,1,3.0
GNN,0,287,129.22863787767233,129.17912,[M-H]-,1,6.0
GNN,0,288,188.27520081393078,189.7809,[M+Na-2H]-,0,3.0
GNN,0,289,173.11224365231365,173.78725,[M+Na-2H]-,0,5.0
GNN,0,290,175.50554552848715,174.94553,[M-H]-,1,3.0
GNN,0,291,233.19007795783904,231.04309,[M-H]-,1,9.0
GNN,0,292,138.92965439221214,138.07516,[M-H]-,1,3.0
GNN,0,293,124.6765071523282,124.50067,[M-H]-,1,6.0
GNN,0,294,161.76376929841095,159.21341,[M-H]-,1,2.0
GNN,0,295,153.3936158353738,152.93892,[M-H]-,1,1.0
GNN,0,296,175.9660182256094,176.13307,[M-H]-,1,2.0
GNN,0,297,209.23269898193362,208.72493,[M-H]-,1,2.0
GNN,0,298,126.0814591614215,124.49216,[M-H]-,1,3.0
GNN,0,299,130.95877018997317,126.73921,[M-H]-,1,3.0
GNN,0,300,126.7754281048001,122.48976,[M-H]-,1,3.0
GNN,0,301,131.06436621724293,129.7722,[M-H]-,1,5.0
GNN,0,302,164.82501440084596,164.93983,[M+Na-2H]-,0,3.0
GNN,0,303,126.80183463087573,126.11234,[M-H]-,1,4.0
GNN,0,304,134.1327318242617,134.05125,[M-H]-,1,3.0
GNN,0,305,130.3839742762743,131.59868,[M-H]-,1,6.0
GNN,0,306,194.73383012789117,193.29291,[M-H]-,1,5.0
GNN,0,307,160.7323821661293,159.1129,[M+Na-2H]-,0,5.0
GNN,0,308,131.2418547502769,129.99493,[M-H]-,1,3.0
GNN,0,309,171.7342394916969,171.18211,[M-H]-,1,2.0
GNN,0,310,200.4184790771002,200.06366,[M-H]-,1,5.0
GNN,0,311,223.82560546096093,221.11926,[M-H]-,1,5.0
GNN,0,312,211.38197564379325,210.9381,[M-H]-,1,1.0
GNN,0,313,282.8546894666486,283.17868,[M-H]-,1,3.0
GNN,0,314,171.4540920363609,170.25871,[M-H]-,1,9.0
GNN,0,315,129.0630165159647,127.728226,[M-H]-,1,6.0
GNN,0,316,141.84583263904372,141.01546,[M-H]-,1,5.0
GNN,0,317,187.2200677888996,185.8921,[M-H]-,1,6.0
GNN,0,318,216.33996344571602,217.73854,[M-H]-,1,5.0
GNN,0,319,159.46470421774856,159.67184,[M-H]-,1,2.0
GNN,0,320,119.97464940188277,119.53602,[M-H]-,1,5.0
GNN,0,321,127.90047321635434,127.2795,[M-H]-,1,1.0
GNN,0,322,142.3180903622469,141.18217,[M-H]-,1,6.0
GNN,0,323,138.7044349679795,138.19745,[M-H]-,1,3.0
GNN,0,324,143.1518379615625,141.49057,[M-H]-,1,5.0
GNN,0,325,160.01329886617236,158.37291,[M-H]-,1,2.0
GNN,0,326,143.28829321115825,143.20676,[M-H]-,1,1.0
GNN,0,327,214.58430755653066,215.74162,[M-H]-,1,5.0
GNN,0,328,181.19641404688795,180.68231,[M-H]-,1,4.0
GNN,0,329,165.3275254065968,166.83861,[M-H]-,1,2.0
GNN,0,330,168.48070213264776,169.1616,[M-H]-,1,2.0
GNN,0,331,159.71491625591872,158.97723,[M-H]-,1,9.0
