model,fold,index,pred,true,adduct_type,adduct_code,class_code
GNN,0,835,177.63314288982858,180.79999,[M+Na]+,4,2.0
GNN,0,836,177.96316213912368,181.13512,[M+Na]+,4,5.0
GNN,0,837,178.62914230802556,181.3697,[M+Na]+,4,3.0
GNN,0,838,180.8766327846363,181.43674,[M+Na]+,4,9.0
GNN,0,839,174.68952409359687,181.86667,[M+Na]+,4,6.0
GNN,0,840,178.48672500869543,182.17401,[M+Na]+,4,9.0
GNN,0,841,183.1561512415816,183.38046,[M+Na]+,4,3.0
GNN,0,842,180.2035118193225,183.56667,[M+Na]+,4,5.0
GNN,0,843,189.39101398758274,184.0507,[M+Na]+,4,3.0
GNN,0,844,183.414804602575,184.11774,[M+Na]+,4,3.0
GNN,0,845,178.23345159738506,184.41934,[M+Na]+,4,9.0
GNN,0,846,183.1629808732392,184.45285,[M+Na]+,4,9.0
GNN,0,847,181.4629809298384,185.05608,[M+Na]+,4,3.0
GNN,0,848,179.3357479988632,185.2236,[M+Na]+,4,3.0
GNN,0,849,191.82184217711344,186.83333,[M+Na]+,4,3.0
GNN,0,850,190.8312976166079,187.06667,[M+Na]+,4,3.0
GNN,0,851,190.0817934582075,187.16667,[M+Na]+,4,3.0
GNN,0,852,181.6985624520043,187.20088,[M+Na]+,4,9.0
GNN,0,853,184.47463319748144,187.36844,[M+Na]+,4,9.0
GNN,0,854,183.87143620315584,187.7706,[M+Na]+,4,1.0
GNN,0,855,190.43384084512985,187.86667,[M+Na]+,4,3.0
GNN,0,856,186.36334250095027,187.93333,[M+Na]+,4,6.0
GNN,0,857,189.8423574145139,188.20625,[M+Na]+,4,3.0
GNN,0,858,191.20254515913305,188.57489,[M+Na]+,4,3.0
GNN,0,859,186.13641797068934,189.1446,[M+Na]+,4,3.0
GNN,0,860,185.7755242740103,191.8256,[M+Na]+,4,3.0
GNN,0,861,187.2153101654202,191.8256,[M+Na]+,4,3.0
GNN,0,862,189.78119168322905,191.95966,[M+Na]+,4,5.0
GNN,0,863,190.1023752515356,192.42883,[M+Na]+,4,5.0
GNN,0,864,193.48514221331968,192.83098,[M+Na]+,4,3.0
GNN,0,865,192.8795861227427,193.33366,[M+Na]+,4,3.0
GNN,0,866,187.9407647406594,193.36667,[M+Na]+,4,3.0
GNN,0,867,190.002261733817,193.90338,[M+Na]+,4,9.0
GNN,0,868,192.8795861227427,194.4,[M+Na]+,4,3.0
GNN,0,869,192.13167207167166,195.64603,[M+Na]+,4,5.0
GNN,0,870,193.58942526561674,195.91414,[M+Na]+,4,9.0
GNN,0,871,197.43673114890709,195.98116,[M+Na]+,4,6.0
GNN,0,872,196.83343833191898,196.04819,[M+Na]+,4,3.0
GNN,0,873,201.062280401414,196.63333,[M+Na]+,4,3.0
GNN,0,874,198.60802052563398,196.66667,[M+Na]+,4,3.0
GNN,0,875,193.55365152799502,196.91951,[M+Na]+,4,2.0
GNN,0,876,198.54234599033333,197.33333,[M+Na]+,4,3.0
GNN,0,877,200.927837047522,197.86667,[M+Na]+,4,3.0
GNN,0,878,201.92244012852282,197.89137,[M+Na]+,4,3.0
GNN,0,879,198.55401336811215,198.52814,[M+Na]+,4,3.0
GNN,0,880,197.22786067336835,199.3,[M+Na]+,4,3.0
GNN,0,881,193.09784610138908,199.39943,[M+Na]+,4,6.0
GNN,0,882,193.40169585923266,199.5,[M+Na]+,4,3.0
GNN,0,883,197.18118667079327,199.96915,[M+Na]+,4,3.0
GNN,0,884,204.76702535313092,200.03618,[M+Na]+,4,6.0
GNN,0,885,199.4262505920583,200.6,[M+Na]+,4,3.0
GNN,0,886,200.33414108538943,201.41019,[M+Na]+,4,6.0
GNN,0,887,194.85440325335531,201.71179,[M+Na]+,4,3.0
GNN,0,888,198.73799458944026,202.08043,[M+Na]+,4,3.0
GNN,0,889,196.85112248396092,202.63333,[M+Na]+,4,3.0
GNN,0,890,204.32067464337712,203.23334,[M+Na]+,4,5.0
GNN,0,891,201.90111554831122,203.6,[M+Na]+,4,3.0
GNN,0,892,202.67201318015006,204.09119,[M+Na]+,4,6.0
GNN,0,893,201.11141618389377,204.59387,[M+Na]+,4,5.0
GNN,0,894,199.4419524963032,204.72792,[M+Na]+,4,5.0
GNN,0,895,199.0384826789388,204.8955,[M+Na]+,4,5.0
GNN,0,896,211.00615356327532,205.43169,[M+Na]+,4,5.0
GNN,0,897,203.22469645329016,205.7,[M+Na]+,4,3.0
GNN,0,898,195.41009783718016,206.06842,[M+Na]+,4,5.0
GNN,0,899,203.22469645329016,207.33333,[M+Na]+,4,3.0
GNN,0,900,201.5697489841585,207.40892,[M+Na]+,4,2.0
GNN,0,901,209.05225200550825,208.1462,[M+Na]+,4,9.0
GNN,0,902,208.9808238289218,208.71591,[M+Na]+,4,5.0
GNN,0,903,208.62926191293204,208.98401,[M+Na]+,4,2.0
GNN,0,904,207.18378668095033,209.9894,[M+Na]+,4,9.0
GNN,0,905,208.55914783672728,210.65964,[M+Na]+,4,2.0
GNN,0,906,210.4191606500707,210.8272,[M+Na]+,4,5.0
GNN,0,907,209.66181248608686,212.5,[M+Na]+,4,9.0
GNN,0,908,211.98933073286938,212.53635,[M+Na]+,4,5.0
GNN,0,909,212.94490801385143,212.63687,[M+Na]+,4,9.0
GNN,0,910,209.93805838606036,213.17308,[M+Na]+,4,9.0
GNN,0,911,212.5677330865555,213.91035,[M+Na]+,4,6.0
GNN,0,912,211.98933073286938,215.68651,[M+Na]+,4,5.0
GNN,0,913,216.15642491834717,216.15569,[M+Na]+,4,1.0
GNN,0,914,218.41150409486895,216.85945,[M+Na]+,4,3.0
GNN,0,915,208.87663844804402,217.5,[M+Na]+,4,3.0
GNN,0,916,231.26684655660515,225.00299,[M+Na]+,4,5.0
GNN,0,917,225.6976506344152,225.40514,[M+Na]+,4,4.0
GNN,0,918,227.87440589875737,225.76666,[M+Na]+,4,4.0
GNN,0,919,221.54696582471428,227.9,[M+Na]+,4,3.0
GNN,0,920,231.09027843691683,228.6,[M+Na]+,4,3.0
GNN,0,921,223.31939532701898,230.36667,[M+Na]+,4,3.0
GNN,0,922,231.61474018174937,230.46553,[M+Na]+,4,5.0
GNN,0,923,228.93411166494482,232.00711,[M+Na]+,4,2.0
GNN,0,924,232.7025500836862,234.01785,[M+Na]+,4,9.0
GNN,0,925,231.26684655660515,234.1184,[M+Na]+,4,5.0
GNN,0,926,237.5523702170546,236.4,[M+Na]+,4,5.0
GNN,0,927,242.32583334124277,237.3356,[M+Na]+,4,4.0
GNN,0,928,234.50393768383685,238.7,[M+Na]+,4,3.0
GNN,0,929,241.14330491424292,239.17879,[M+Na]+,4,5.0
GNN,0,930,242.32583334124277,239.53334,[M+Na]+,4,4.0
GNN,0,931,240.29758323529262,243.06667,[M+Na]+,4,4.0
GNN,0,932,244.11206925136366,244.1,[M+Na]+,4,4.0
GNN,0,933,246.99771686679333,248.83333,[M+Na]+,4,6.0
GNN,0,934,258.756667084087,251.0422,[M+Na]+,4,5.0
GNN,0,935,248.8879673694097,251.61192,[M+Na]+,4,9.0
GNN,0,936,263.5139864494974,260.56668,[M+Na]+,4,3.0
GNN,0,937,263.8207885098913,263.07324,[M+Na]+,4,5.0
GNN,0,938,273.7424799811969,269.03842,[M+Na]+,4,5.0
GNN,0,939,281.4897666595916,279.6954,[M+Na]+,4,5.0
GNN,0,940,281.4897666595916,281.7,[M+Na]+,4,5.0
